id,source_type,source_file,raw_text,name,url,domain,category,subcategory,purpose,department,agent_owner,use_case,data_type,access_type,cost_level,risk_level,legal_notes,setup_steps,example_prompt,tags,priority_score,verified_status,last_checked,notes
EIC-0001,spreadsheet,API_Mega_List_Repository_Index.xlsx,"agents-apis-697 | Agents & AI Agents | AI agents, autonomous workflows, assistants | 697",agents-apis-697,,agents-apis-697,AI & Automation,,"AI agents, autonomous workflows, assistants",DevOps Desk,Nova Ling,"Nova Ling reaches for agents-apis-697 when building or extending Hive automation: agents, workflows, prompts, models, vector stores. Slot into existing 03_AUTOMATION_CORE/ scripts.",,free,free,low,,"1. Open https://agents-apis-697 for docs.
2. If it's a model/API, capture endpoint + auth into `06_DEVELOPMENT/everlight_os/secrets/`.
3. Add a wrapper in `content_tools/` so all agents share one entry point.",,ai,4,checked,2026-05-12,sheet_category=Agents & AI Agents; api_count=697
EIC-0002,spreadsheet,API_Mega_List_Repository_Index.xlsx,"automation-apis-4825 | Automation | Workflow automation, bots, integrations | 4825",automation-apis-4825,,automation-apis-4825,AI & Automation,,"Workflow automation, bots, integrations",DevOps Desk,Nova Ling,"Nova Ling reaches for automation-apis-4825 when building or extending Hive automation: agents, workflows, prompts, models, vector stores. Slot into existing 03_AUTOMATION_CORE/ scripts.",,free,free,low,,"1. Open https://automation-apis-4825 for docs.
2. If it's a model/API, capture endpoint + auth into `06_DEVELOPMENT/everlight_os/secrets/`.
3. Add a wrapper in `content_tools/` so all agents share one entry point.",,workflow automation,4,checked,2026-05-12,sheet_category=Automation; api_count=4825
EIC-0003,spreadsheet,Everlight_Free_Resources_List.xlsx,lexica.art | AI prompts | Search engine for AI-generated image prompts.,Lexica,https://lexica.art,lexica.art,AI & Automation,,Search engine for AI-generated image prompts.,DevOps Desk,Nova Ling,"Nova Ling reaches for lexica.art when building or extending Hive automation: agents, workflows, prompts, models, vector stores. Slot into existing 03_AUTOMATION_CORE/ scripts.",,free,free,low,,"1. Open https://lexica.art for docs.
2. If it's a model/API, capture endpoint + auth into `06_DEVELOPMENT/everlight_os/secrets/`.
3. Add a wrapper in `content_tools/` so all agents share one entry point.",,ai,4,checked,2026-05-12,sheet_category=AI prompts | photo_topic=Essential Tools you'll wish you found earlier
EIC-0004,spreadsheet,Everlight_Free_Resources_List.xlsx,napkin.ai | AI diagrams | Turns text into diagrams and visuals.,Napkin,https://napkin.ai,napkin.ai,AI & Automation,,Turns any text into diagrams and visuals,DevOps Desk,Nova Ling,"Nova Ling reaches for napkin.ai when building or extending Hive automation: agents, workflows, prompts, models, vector stores. Slot into existing 03_AUTOMATION_CORE/ scripts.",,free,free,low,,"1. Open https://napkin.ai for docs.
2. If it's a model/API, capture endpoint + auth into `06_DEVELOPMENT/everlight_os/secrets/`.
3. Add a wrapper in `content_tools/` so all agents share one entry point.",,ai,4,checked,2026-05-12,sheet_category=AI diagrams | photo_topic=Essential Tools you'll wish you found earlier
EIC-0005,spreadsheet,Everlight_Free_Resources_List.xlsx,patterned.ai | Design | Creates patterns for graphic design.,Patterned,https://patterned.ai,patterned.ai,AI & Automation,,Creates patterns for graphic design.,DevOps Desk,Nova Ling,"Nova Ling reaches for patterned.ai when building or extending Hive automation: agents, workflows, prompts, models, vector stores. Slot into existing 03_AUTOMATION_CORE/ scripts.",,free,free,low,,"1. Open https://patterned.ai for docs.
2. If it's a model/API, capture endpoint + auth into `06_DEVELOPMENT/everlight_os/secrets/`.
3. Add a wrapper in `content_tools/` so all agents share one entry point.",,ai,4,checked,2026-05-12,sheet_category=Design | photo_topic=Essential Tools you'll wish you found earlier
EIC-0006,spreadsheet,Everlight_Free_Resources_List.xlsx,rationale.jina.ai | Decision analysis | Breaks decisions down with structured logic.,Rationale,https://rationale.jina.ai,rationale.jina.ai,AI & Automation,,Breaks down any decision with structured logic,DevOps Desk,Nova Ling,"Nova Ling reaches for rationale.jina.ai when building or extending Hive automation: agents, workflows, prompts, models, vector stores. Slot into existing 03_AUTOMATION_CORE/ scripts.",,free,free,low,,"1. Open https://rationale.jina.ai for docs.
2. If it's a model/API, capture endpoint + auth into `06_DEVELOPMENT/everlight_os/secrets/`.
3. Add a wrapper in `content_tools/` so all agents share one entry point.",,ai,4,checked,2026-05-12,sheet_category=Decision analysis | photo_topic=Essential Tools you'll wish you found earlier
EIC-0007,spreadsheet,API_Mega_List_Repository_Index.xlsx,social-media-apis-3268 | Social Media | Social media automation/data | 3268,social-media-apis-3268,,social-media-apis-3268,AI & Automation,,Social media automation/data,DevOps Desk,Nova Ling,"Nova Ling reaches for social-media-apis-3268 when building or extending Hive automation: agents, workflows, prompts, models, vector stores. Slot into existing 03_AUTOMATION_CORE/ scripts.",,free,free,low,,"1. Open https://social-media-apis-3268 for docs.
2. If it's a model/API, capture endpoint + auth into `06_DEVELOPMENT/everlight_os/secrets/`.
3. Add a wrapper in `content_tools/` so all agents share one entry point.",,automation,4,checked,2026-05-12,sheet_category=Social Media; api_count=3268
EIC-0008,photo_ocr,FB_IMG_1778509090589.jpg,« codeberg.org - Reliable Free code hosting,Codeberg,https://codeberg.org,codeberg.org,APIs & Developer Tools,,Reliable Free code hosting,DevOps Desk,Engineering Foreman,"Engineering Foreman uses codeberg.org to build, test, or deploy. Drop into the engineering toolbox; reference from `49_engineering_assistant.md` runbooks.",,free,free,low,,"1. Open https://codeberg.org for docs.
2. Install / clone as needed.
3. Add to `06_DEVELOPMENT/` if it becomes part of the stack.",,code,3,auto,2026-05-12,photo_topic=Free Tools that handle tasks you've been avoiding
EIC-0009,spreadsheet,API_Mega_List_Repository_Index.xlsx,"developer-tools-apis-2652 | Developer Tools | Developer tooling, code, CI/CD | 2652",developer-tools-apis-2652,,developer-tools-apis-2652,APIs & Developer Tools,,"Developer tooling, code, CI/CD",DevOps Desk,Engineering Foreman,"Engineering Foreman uses developer-tools-apis-2652 to build, test, or deploy. Drop into the engineering toolbox; reference from `49_engineering_assistant.md` runbooks.",,free,free,low,,"1. Open https://developer-tools-apis-2652 for docs.
2. Install / clone as needed.
3. Add to `06_DEVELOPMENT/` if it becomes part of the stack.",,ci/cd,4,checked,2026-05-12,sheet_category=Developer Tools; api_count=2652
EIC-0010,photo_ocr,FB_IMG_1778509507011.jpg,¢ softwareheritage.org - Archive preserving all publicly available source code,Softwareheritage,https://softwareheritage.org,softwareheritage.org,APIs & Developer Tools,,Archive preserving all publicly available source code,DevOps Desk,Engineering Foreman,"Engineering Foreman uses softwareheritage.org to build, test, or deploy. Drop into the engineering toolbox; reference from `49_engineering_assistant.md` runbooks.",,free,free,low,,"1. Open https://softwareheritage.org for docs.
2. Install / clone as needed.
3. Add to `06_DEVELOPMENT/` if it becomes part of the stack.",,code,3,auto,2026-05-12,photo_topic=platforms for finding hard to  access information..
