id,domain,category,purpose,raw_text,source_file
EIC-0056,amusingplanet.com,Decision Intelligence,unusual natural and manmade global phenomena,* amusingplanet.com - unusual natural and manmade global phenomena,FB_IMG_1778509392320.jpg
EIC-0057,antcat.org,Decision Intelligence,"Every ant species ever discovered, catalogued","¢ antcat.org - Every ant species ever discovered, catalogued",FB_IMG_1778509507011.jpg
EIC-0059,atlasofwonders.com,Decision Intelligence,Curated list of breathtaking hidden global locations,« atlasofwonders.com - Curated list of breathtaking hidden global locations,FB_IMG_1778509392320.jpg
EIC-0062,bigmp4.com,Decision Intelligence,Upscales low-resolution videos.,bigmp4.com | Video upscaling | Upscales low-resolution videos.,Everlight_Free_Resources_List.xlsx
EIC-0063,brandfetch.com,Decision Intelligence,search millions of brand logos/ colors,brandfetch.com | Brand assets | Finds company logos and brand colors.,Everlight_Free_Resources_List.xlsx
EIC-0065,bucketlistjourney.net,Decision Intelligence,extraordinary places for global exploration,« bucketlistjourney.net - extraordinary places for global exploration,FB_IMG_1778509392320.jpg
EIC-0066,business-apis-2,Decision Intelligence,Business operations APIs,business-apis-2 | Business | Business operations APIs | 2,API_Mega_List_Repository_Index.xlsx
EIC-0068,calmcode.io,Decision Intelligence,"Short, simple coding tutorials for developers","- calmcode.io - Short, simple coding tutorials for developers.",FB_IMG_1778509090589.jpg
EIC-0071,citywalks.live,Decision Intelligence,Explore cities worldwide through walking livestream videos,« citywalks.live - Explore cities worldwide through walking livestream videos,FB_IMG_1778509392320.jpg
EIC-0075,cobalt.tools,Decision Intelligence,Download video/ audio from any platform,¢ cobalt.tools - Download video/ audio from any platform,FB_IMG_1778509090589.jpg
EIC-0077,colorize.cc,Decision Intelligence,Restores color to black-and-white photos.,colorize.cc | Photo restoration | Restores color to black-and-white photos.,Everlight_Free_Resources_List.xlsx
EIC-0080,crossref.org,Decision Intelligence,DOI metadata for every published paper,¢ crossref.org - DOI metadata for every published paper,FB_IMG_1778509507011.jpg
EIC-0081,curiosmos.com,Decision Intelligence,unexplained phenomena and mysterious global locations,* curiosmos.com - unexplained phenomena and mysterious global locations,FB_IMG_1778509392320.jpg
EIC-0085,deepl.com,Decision Intelligence,Most accurate Al translator,« deepl.com - Most accurate Al translator,FB_IMG_1778509090589.jpg
EIC-0088,drugbank.com,Decision Intelligence,Deep data on every approved drug worldwide,¢ drugbank.com - Deep data on every approved drug worldwide,FB_IMG_1778509507011.jpg
EIC-0089,duplichecker.com,Decision Intelligence,Plagiarism check against billions of pages,¢ duplichecker.com - Plagiarism check against billions of pages,FB_IMG_1778509090589.jpg
EIC-0091,earthtrekkers.com,Decision Intelligence,unique destinations with detailed travel insights,« earthtrekkers.com - unique destinations with detailed travel insights,FB_IMG_1778509392320.jpg
EIC-0092,ebird.org,Decision Intelligence,1 billion bird observation records worldwide,¢ ebird.org - 1 billion bird observation records worldwide,FB_IMG_1778509507011.jpg
EIC-0093,elephind.com,Decision Intelligence,Millions of historical newspapers searchable,¢ elephind.com - Millions of historical newspapers searchable,FB_IMG_1778509507011.jpg
EIC-0098,explainpaper.com,Decision Intelligence,understand any confusing paper,¢ explainpaper.com - understand any confusing paper,FB_IMG_1778509090589.jpg
EIC-0105,geocaching.com,Decision Intelligence,Explore real world treasure hunt locations globally,* geocaching.com - Explore real world treasure hunt locations globally,FB_IMG_1778509392320.jpg
EIC-0106,geogebra.org,Decision Intelligence,Free math and graphing tools.,geogebra.org | Math tools | Free math and graphing tools.,Everlight_Free_Resources_List.xlsx
EIC-0110,globalgrasshopper.com,Decision Intelligence,stylish hidden travel destinations worldwide,« globalgrasshopper.com - stylish hidden travel destinations worldwide,FB_IMG_1778509392320.jpg
EIC-0112,hiddenarchitecture.net,Decision Intelligence,unusual architectural wonders across the world,¢ hiddenarchitecture.net - unusual architectural wonders across the world,FB_IMG_1778509392320.jpg
EIC-0113,historicmysteries.com,Decision Intelligence,mysterious historical sites and ancient wonders,« historicmysteries.com - mysterious historical sites and ancient wonders,FB_IMG_1778509392320.jpg
EIC-0117,integrations-apis-890,Decision Intelligence,Cross-platform integrations,integrations-apis-890 | Integrations | Cross-platform integrations | 890,API_Mega_List_Repository_Index.xlsx
EIC-0119,inventaire.io,Decision Intelligence,Open database of every book edition published,¢ inventaire.io - Open database of every book edition published,FB_IMG_1778509507011.jpg
EIC-0121,iucnredlist.org,Decision Intelligence,Extinction risk data for every known species,¢ iucnredlist.org - Extinction risk data for every known species,FB_IMG_1778509507011.jpg
EIC-0122,jitsi.org,Decision Intelligence,Host unlimited private video calls,¢ jitsi.org - Host unlimited private video calls,FB_IMG_1778509090589.jpg
