title,seller_name,seller_email,seller_url,description,category,price_min,price_max,pricing_model,keywords
Crisp Chat,Crisp,sales@crisp.chat,https://crisp.chat,All-in-one customer messaging platform with live chat and chatbot,ai_saas,0,95,monthly,"chat,support,chatbot,customer,messaging"
Plausible Analytics,Plausible,hello@plausible.io,https://plausible.io,Lightweight privacy-friendly Google Analytics alternative,marketing,9,49,monthly,"analytics,privacy,tracking,website"
Cal.com,Cal.com,support@cal.com,https://cal.com,Open-source scheduling infrastructure for everyone,dev_service,0,30,monthly,"scheduling,calendar,booking,meetings"
Resend,Resend,support@resend.com,https://resend.com,Email API for developers with great deliverability,dev_service,0,80,monthly,"email,api,smtp,transactional"
Dub.co,Dub,support@dub.co,https://dub.co,Open-source link management infrastructure for modern teams,marketing,0,59,monthly,"links,analytics,short-url,marketing"
Tally Forms,Tally,hi@tally.so,https://tally.so,Simplest way to create free forms that work like docs,ai_saas,0,29,monthly,"forms,surveys,no-code,data-collection"
PostHog,PostHog,hey@posthog.com,https://posthog.com,Open-source product analytics and session recording,marketing,0,450,monthly,"analytics,product,session-recording,feature-flags"
Novu,Novu,support@novu.co,https://novu.co,Open-source notification infrastructure for developers,dev_service,0,250,monthly,"notifications,api,email,sms,push"
Documenso,Documenso,support@documenso.com,https://documenso.com,Open-source DocuSign alternative for document signing,dev_service,0,30,monthly,"esignature,documents,signing,contracts"
Trigger.dev,Trigger,support@trigger.dev,https://trigger.dev,Open-source background jobs framework for TypeScript,dev_service,0,49,monthly,"jobs,background,typescript,serverless"
Erxes,Erxes,info@erxes.io,https://erxes.io,Open-source experience management platform with CRM,ai_saas,0,200,monthly,"crm,marketing,automation,customer"
Chatwoot,Chatwoot,hello@chatwoot.com,https://chatwoot.com,Open-source customer engagement suite with live chat,ai_saas,0,99,monthly,"chat,support,customer,omnichannel"
Typebot,Typebot,support@typebot.io,https://typebot.io,Open-source chatbot builder with visual drag and drop,ai_saas,0,89,monthly,"chatbot,builder,no-code,conversational"
Infisical,Infisical,support@infisical.com,https://infisical.com,Open-source secret management for dev teams,dev_service,0,120,monthly,"secrets,security,devops,environment-variables"
Formbricks,Formbricks,hi@formbricks.com,https://formbricks.com,Open-source survey platform for in-product micro-surveys,marketing,0,99,monthly,"surveys,feedback,product,in-app"
Lago,Lago,hello@getlago.com,https://getlago.com,Open-source metering and usage-based billing platform,fintech,0,350,monthly,"billing,metering,usage-based,subscriptions"
Papermark,Papermark,support@papermark.io,https://papermark.io,Open-source DocSend alternative for sharing documents,dev_service,0,49,monthly,"documents,sharing,analytics,pitch-decks"
Hanko,Hanko,hello@hanko.io,https://hanko.io,Open-source passkey authentication for web apps,dev_service,0,99,monthly,"auth,passkey,authentication,security"
Rallly,Rallly,support@rallly.co,https://rallly.co,Open-source Doodle alternative for scheduling group meetings,dev_service,0,10,monthly,"scheduling,meetings,polls,groups"
Hatchet,Hatchet,support@hatchet.run,https://hatchet.run,Open-source distributed task queue for reliable background jobs,dev_service,0,99,monthly,"queue,tasks,background,distributed"
