
Client (Seller),Email,Tool/Product,Category,Price Range (mo),Our Commission %,Est Annual Commission,Outreach Status,Date Contacted,Times Contacted,Reply Received,Follow-Up Due,Matched Buyers,Subject Line,Email Body Sent,Next Action
Crisp,sales@crisp.chat,Crisp Chat,ai_saas,$0.00-$95.00,20.00%,$114.0,Pitched,2026-03-12T15:53:01.907182,1,No,Day 7 auto,21,Buyers looking for Crisp Chat -- partnership?,"Hi Crisp, I have been watching what Crisp Chat does -- All-in-one customer messaging platform with live chat and chatbot. Impressive work. Here is why I am reaching out: we have buyers actively searching for ai_saas tools. We are currently matching 3 qualified buyers who need exactly this kind of so",Awaiting reply (follow-up day 7 if no response)
Plausible,hello@plausible.io,Plausible Analytics,marketing,$9.00-$49.00,20.00%,$69.6,Pitched,2026-03-12T15:53:02.901299,1,No,Day 7 auto,2,Buyers looking for Plausible Analytics -- partnership?,"Hi Plausible, I have been watching what Plausible Analytics does -- Lightweight privacy-friendly Google Analytics alternative. Impressive work. Here is why I am reaching out: we have buyers actively searching for marketing tools. We are currently matching 3 qualified buyers who need exactly this kin",Awaiting reply (follow-up day 7 if no response)
Cal.com,support@cal.com,Cal.com,dev_service,$0.00-$30.00,20.00%,$36.0,Pitched,2026-03-12T15:53:03.888279,1,No,Day 7 auto,8,Buyers looking for Cal.com -- partnership?,"Hi Cal.com, I have been watching what Cal.com does -- Open-source scheduling infrastructure for everyone. Impressive work. Here is why I am reaching out: we have buyers actively searching for dev_service tools. We are currently matching 3 qualified buyers who need exactly this kind of solution. How ",Awaiting reply (follow-up day 7 if no response)
Resend,support@resend.com,Resend,dev_service,$0.00-$80.00,20.00%,$96.0,Pitched,2026-03-12T15:53:04.856648,1,No,Day 7 auto,8,Buyers looking for Resend -- partnership?,"Hi Resend, I have been watching what Resend does -- Email API for developers with great deliverability. Impressive work. Here is why I am reaching out: we have buyers actively searching for dev_service tools. We are currently matching 3 qualified buyers who need exactly this kind of solution. How it",Awaiting reply (follow-up day 7 if no response)
Dub,support@dub.co,Dub.co,marketing,$0.00-$59.00,20.00%,$70.8,Pitched,2026-03-12T15:53:05.828616,1,No,Day 7 auto,2,Buyers looking for Dub.co -- partnership?,"Hi Dub, I have been watching what Dub.co does -- Open-source link management infrastructure for modern teams. Impressive work. Here is why I am reaching out: we have buyers actively searching for marketing tools. We are currently matching 3 qualified buyers who need exactly this kind of solution. Ho",Awaiting reply (follow-up day 7 if no response)
Tally,hi@tally.so,Tally Forms,ai_saas,$0.00-$29.00,20.00%,$34.8,Pitched,2026-03-12T15:55:15.199245,1,No,Day 7 auto,21,Buyers looking for Tally Forms -- partnership?,"Hi Tally, I have been watching what Tally Forms does -- Simplest way to create free forms that work like docs. Impressive work. Here is why I am reaching out: we have buyers actively searching for ai_saas tools. We are currently matching 3 qualified buyers who need exactly this kind of solution. How",Awaiting reply (follow-up day 7 if no response)
PostHog,hey@posthog.com,PostHog,marketing,$0.00-$450.00,20.00%,$540.0,Pitched,2026-03-12T15:55:16.169325,1,No,Day 7 auto,2,Buyers looking for PostHog -- partnership?,"Hi PostHog, I have been watching what PostHog does -- Open-source product analytics and session recording. Impressive work. Here is why I am reaching out: we have buyers actively searching for marketing tools. We are currently matching 3 qualified buyers who need exactly this kind of solution. How i",Awaiting reply (follow-up day 7 if no response)
Novu,support@novu.co,Novu,dev_service,$0.00-$250.00,20.00%,$300.0,Pitched,2026-03-12T15:55:17.133170,1,No,Day 7 auto,8,Buyers looking for Novu -- partnership?,"Hi Novu, I have been watching what Novu does -- Open-source notification infrastructure for developers. Impressive work. Here is why I am reaching out: we have buyers actively searching for dev_service tools. We are currently matching 3 qualified buyers who need exactly this kind of solution. How it",Awaiting reply (follow-up day 7 if no response)
Documenso,support@documenso.com,Documenso,dev_service,$0.00-$30.00,20.00%,$36.0,Pitched,2026-03-12T15:55:18.201891,1,No,Day 7 auto,8,Buyers looking for Documenso -- partnership?,"Hi Documenso, I have been watching what Documenso does -- Open-source DocuSign alternative for document signing. Impressive work. Here is why I am reaching out: we have buyers actively searching for dev_service tools. We are currently matching 3 qualified buyers who need exactly this kind of solutio",Awaiting reply (follow-up day 7 if no response)
Trigger,support@trigger.dev,Trigger.dev,dev_service,$0.00-$49.00,20.00%,$58.8,Pitched,2026-03-12T15:55:19.212612,1,No,Day 7 auto,8,Buyers looking for Trigger.dev -- partnership?,"Hi Trigger, I have been watching what Trigger.dev does -- Open-source background jobs framework for TypeScript. Impressive work. Here is why I am reaching out: we have buyers actively searching for dev_service tools. We are currently matching 3 qualified buyers who need exactly this kind of solution",Awaiting reply (follow-up day 7 if no response)
Erxes,info@erxes.io,Erxes,ai_saas,$0.00-$200.00,20.00%,$240.0,Queued (next batch),,0,No,N/A,21,PENDING,NOT YET SENT,Send initial pitch
Chatwoot,hello@chatwoot.com,Chatwoot,ai_saas,$0.00-$99.00,20.00%,$118.8,Queued (next batch),,0,No,N/A,21,PENDING,NOT YET SENT,Send initial pitch
Typebot,support@typebot.io,Typebot,ai_saas,$0.00-$89.00,20.00%,$106.8,Queued (next batch),,0,No,N/A,21,PENDING,NOT YET SENT,Send initial pitch
Infisical,support@infisical.com,Infisical,dev_service,$0.00-$120.00,20.00%,$144.0,Queued (next batch),,0,No,N/A,8,PENDING,NOT YET SENT,Send initial pitch
Formbricks,hi@formbricks.com,Formbricks,marketing,$0.00-$99.00,20.00%,$118.8,Queued (next batch),,0,No,N/A,2,PENDING,NOT YET SENT,Send initial pitch
Lago,hello@getlago.com,Lago,fintech,$0.00-$350.00,20.00%,$420.0,Queued (next batch),,0,No,N/A,0,PENDING,NOT YET SENT,Send initial pitch
Papermark,support@papermark.io,Papermark,dev_service,$0.00-$49.00,20.00%,$58.8,Queued (next batch),,0,No,N/A,8,PENDING,NOT YET SENT,Send initial pitch
Hanko,hello@hanko.io,Hanko,dev_service,$0.00-$99.00,20.00%,$118.8,Queued (next batch),,0,No,N/A,8,PENDING,NOT YET SENT,Send initial pitch
Rallly,support@rallly.co,Rallly,dev_service,$0.00-$10.00,20.00%,$12.0,Queued (next batch),,0,No,N/A,8,PENDING,NOT YET SENT,Send initial pitch
Hatchet,support@hatchet.run,Hatchet,dev_service,$0.00-$99.00,20.00%,$118.8,Queued (next batch),,0,No,N/A,8,PENDING,NOT YET SENT,Send initial pitch

